taxonRank,kingdom,family,scientificName
forma,"",VERRUCARIACEAE,Verrucaria nigrescens f. tectorum
forma,Animalia,ANDRENIDAE,Andrena trimmerana f. spinigera
forma,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Apatura ilia f. clytie
forma,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Argynnis paphia f. valesina
forma,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Bleek hooibeestje f. microphtalma
forma,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Coenonympha glycerion bertolis
forma,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Coenonympha pamphilus f. lyllus
forma,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Fabriciana niobe f. eris
forma,Animalia,CARPS_CYPRINIDAE,Leuciscus idus forma melanotus
forma,Animalia,DOLPHINS_DELPHINIDAE,Orcinus orca ecotype-A
forma,Animalia,DOLPHINS_DELPHINIDAE,Orcinus orca ecotype-B-large
forma,Animalia,DOLPHINS_DELPHINIDAE,Orcinus orca ecotype-B-small
forma,Animalia,DOLPHINS_DELPHINIDAE,Orcinus orca ecotype-C
forma,Animalia,DOLPHINS_DELPHINIDAE,Orcinus orca ecotype-biggs
forma,Animalia,DOLPHINS_DELPHINIDAE,Orcinus orca ecotype-offshore
forma,Animalia,DOLPHINS_DELPHINIDAE,Orcinus orca ecotype-resident
forma,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anas platyrhynchos forma domestica
forma,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Anser anser forma domestica
forma,Animalia,FINCHES_FRINGILLIDAE,Serinus canaria forma domestica
forma,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Polyommatus icarus f. icarinus
forma,Animalia,Geometridae,Idaea aversata f. remutata
forma,Animalia,Helicidae,Cepaea nemoralis forma B(12)345
forma,Animalia,Helicidae,Cepaea nemoralis forma B(123)45
forma,Animalia,Helicidae,Cepaea nemoralis forma B(12345)
forma,Animalia,Helicidae,Cepaea nemoralis forma B00(345)
forma,Animalia,Helicidae,Cepaea nemoralis forma B00000
forma,Animalia,Helicidae,Cepaea nemoralis forma B00045
forma,Animalia,Helicidae,Cepaea nemoralis forma B000??
forma,Animalia,Helicidae,Cepaea nemoralis forma B003(45)
forma,Animalia,Helicidae,Cepaea nemoralis forma B00300
forma,Animalia,Helicidae,Cepaea nemoralis forma B00345
forma,Animalia,Helicidae,Cepaea nemoralis forma B003??
forma,Animalia,Helicidae,Cepaea nemoralis forma B123(45)
forma,Animalia,Helicidae,Cepaea nemoralis forma B12345
forma,Animalia,Helicidae,Cepaea nemoralis forma B123??
forma,Animalia,Helicidae,Cepaea nemoralis forma Bxxxxx
forma,Animalia,Helicidae,Cepaea nemoralis forma P(12)3(45)
forma,Animalia,Helicidae,Cepaea nemoralis forma P(12)345
forma,Animalia,Helicidae,Cepaea nemoralis forma P(123)(45)
forma,Animalia,Helicidae,Cepaea nemoralis forma P(123)45
forma,Animalia,Helicidae,Cepaea nemoralis forma P(12345)
forma,Animalia,Helicidae,Cepaea nemoralis forma P00(345)
forma,Animalia,Helicidae,Cepaea nemoralis forma P00000
forma,Animalia,Helicidae,Cepaea nemoralis forma P000??
forma,Animalia,Helicidae,Cepaea nemoralis forma P003(45)
forma,Animalia,Helicidae,Cepaea nemoralis forma P00300
forma,Animalia,Helicidae,Cepaea nemoralis forma P00345
forma,Animalia,Helicidae,Cepaea nemoralis forma P003??
forma,Animalia,Helicidae,Cepaea nemoralis forma P02345
forma,Animalia,Helicidae,Cepaea nemoralis forma P1(23)45
forma,Animalia,Helicidae,Cepaea nemoralis forma P1(2345)
forma,Animalia,Helicidae,Cepaea nemoralis forma P12(345)
forma,Animalia,Helicidae,Cepaea nemoralis forma P12045
forma,Animalia,Helicidae,Cepaea nemoralis forma P123(45)
forma,Animalia,Helicidae,Cepaea nemoralis forma P12345
forma,Animalia,Helicidae,Cepaea nemoralis forma P123??
forma,Animalia,Helicidae,Cepaea nemoralis forma Pxxxxx
forma,Animalia,Helicidae,Cepaea nemoralis forma Y(12)3(45)
forma,Animalia,Helicidae,Cepaea nemoralis forma Y(12)345
forma,Animalia,Helicidae,Cepaea nemoralis forma Y(123)(45)
forma,Animalia,Helicidae,Cepaea nemoralis forma Y(123)45
forma,Animalia,Helicidae,Cepaea nemoralis forma Y(12345)
forma,Animalia,Helicidae,Cepaea nemoralis forma Y00(345)
forma,Animalia,Helicidae,Cepaea nemoralis forma Y000(45)
forma,Animalia,Helicidae,Cepaea nemoralis forma Y00000
forma,Animalia,Helicidae,Cepaea nemoralis forma Y00045
forma,Animalia,Helicidae,Cepaea nemoralis forma Y000??
forma,Animalia,Helicidae,Cepaea nemoralis forma Y003(45)
forma,Animalia,Helicidae,Cepaea nemoralis forma Y00300
forma,Animalia,Helicidae,Cepaea nemoralis forma Y00345
forma,Animalia,Helicidae,Cepaea nemoralis forma Y003??
forma,Animalia,Helicidae,Cepaea nemoralis forma Y02345
